user_ID,AMAZON_INDEX(ASIN),Ratings
1,45,
1,232,
1,12,
1,67,
1,43,
1,33,
1,3,
2,45,
2,3,
2,2,
2,7,
2,1,
2,983,
2,233,
3,12,
3,43,
3,545,
3,787,
3,2132,
3,34,
3,54,
3,67,
3,45,
3,232,
3,1313,
4,87,
4,435,
4,23,
4,12,
4,35,
4,5,
4,43,
4,98,
5,900,
5,454,
5,121,
5,1,
5,6,
5,9,
6,98,
6,67,
6,6,
6,65,
7,657,
7,654,
7,6576,
8,565,
8,6732,
8,23242,
8,43,
8,23,
8,12,
8,434,
8,878,
9,345,
9,34535,
9,676,
9,456,
9,123,
9,45,
9,6756,
9,3453,
10,324,
10,23,
10,657,
10,345,
10,123,
10,5645,
10,65,
11,576,
11,5676,
11,345,
11,234,
11,123,
11,3454,
11,657,
